SONG_ID,SOURCE,ANNOTATOR1,ANNOTATOR2,FILE_LOCATION,SONG_DURATION,EMPTY,SONG_TITLE,ARTIST,FORMAT,ANNOTATION_TIME1,ANNOTATION_TIME2,TEXTFILE1,TEXTFILE2,CLASS,GENRE,SUBMISSION_DATE1,SUBMISSION_DATE2,SONG_WAS_PRIVATE_FLAG,SONG_WAS_DISCARDED_FLAG,XEQS1,XEQS2
10,Codaich,4,5,/srv/salami/data/Codaich/popular/The_Cure/How_Beautiful_You_Are,314.0,,How_Beautiful_You_Are,The_Cure,mp3,20.0,30.0,/srv/salami/data/Codaich/popular/The_Cure/How_Beautiful_You_Are/textfile1.txt,/srv/salami/data/Codaich/popular/The_Cure/How_Beautiful_You_Are/textfile2.txt,popular,Alternative_Pop___Rock,2010-07-10,2010-07-01,0,False,0,0
12,Codaich,2,6,/srv/salami/data/Codaich/popular/Sarah_Mclachlan/Mercy,262.0,,Mercy,Sarah_Mclachlan,mp3,35.0,20.0,/srv/salami/data/Codaich/popular/Sarah_Mclachlan/Mercy/textfile1.txt,/srv/salami/data/Codaich/popular/Sarah_Mclachlan/Mercy/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-04,2010-06-08,0,False,X,X
14,Codaich,2,8,/srv/salami/data/Codaich/popular/Bif_Naked/Over_You,248.0,,Over_You,Bif_Naked,mp3,30.0,15.0,/srv/salami/data/Codaich/popular/Bif_Naked/Over_You/textfile1.txt,/srv/salami/data/Codaich/popular/Bif_Naked/Over_You/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-05,2010-06-04,0,False,X,X
16,Codaich,3,5,/srv/salami/data/Codaich/popular/Natalie_Imbruglia/Goodbye,301.0,,Goodbye,Natalie_Imbruglia,mp3,10.0,25.0,/srv/salami/data/Codaich/popular/Natalie_Imbruglia/Goodbye/textfile1.txt,/srv/salami/data/Codaich/popular/Natalie_Imbruglia/Goodbye/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-02,2010-07-01,0,False,X,0
22,Codaich,2,7,/srv/salami/data/Codaich/jazz/B_B__King/Dangerous_Mood___With_Joe_Cocker__,295.0,,Dangerous_Mood___With_Joe_Cocker__,B_B__King,mp3,20.0,25.0,/srv/salami/data/Codaich/jazz/B_B__King/Dangerous_Mood___With_Joe_Cocker__/textfile1.txt,/srv/salami/data/Codaich/jazz/B_B__King/Dangerous_Mood___With_Joe_Cocker__/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-07-26,2010-06-21,0,False,0,0
24,Codaich,3,9,/srv/salami/data/Codaich/jazz/S_Word/Blood_On_That_Rock,202.0,,Blood_On_That_Rock,S_Word,mp3,15.0,15.0,/srv/salami/data/Codaich/jazz/S_Word/Blood_On_That_Rock/textfile1.txt,/srv/salami/data/Codaich/jazz/S_Word/Blood_On_That_Rock/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-06-28,2010-08-01,0,False,0,0
26,Codaich,3,6,/srv/salami/data/Codaich/jazz/Compilations/Left_Me_With_A_Broken_Heart,314.0,,Left_Me_With_A_Broken_Heart,Compilations,mp3,25.0,30.0,/srv/salami/data/Codaich/jazz/Compilations/Left_Me_With_A_Broken_Heart/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Left_Me_With_A_Broken_Heart/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-06-17,2010-06-12,0,False,0,0
32,Codaich,3,7,/srv/salami/data/Codaich/jazz/Brownie_McGhee____Sonny_Terry/C__mon_If_You__re_Comin__,197.0,,C__mon_If_You__re_Comin__,Brownie_McGhee____Sonny_Terry,mp3,20.0,15.0,/srv/salami/data/Codaich/jazz/Brownie_McGhee____Sonny_Terry/C__mon_If_You__re_Comin__/textfile1.txt,/srv/salami/data/Codaich/jazz/Brownie_McGhee____Sonny_Terry/C__mon_If_You__re_Comin__/textfile2.txt,jazz,Blues_-_Country_Blues,2010-06-17,2010-06-10,0,False,0,0
38,Codaich,4,5,/srv/salami/data/Codaich/jazz/Son_House/John_The_Revelator,137.0,,John_The_Revelator,Son_House,mp3,15.0,20.0,/srv/salami/data/Codaich/jazz/Son_House/John_The_Revelator/textfile1.txt,/srv/salami/data/Codaich/jazz/Son_House/John_The_Revelator/textfile2.txt,jazz,Blues_-_Country_Blues,2010-06-27,2010-07-24,0,False,0,0
40,Codaich,2,6,/srv/salami/data/Codaich/jazz/Compilations/Just_Like_A_Bird_Without_A_Feather,142.0,,Just_Like_A_Bird_Without_A_Feather,Compilations,mp3,20.0,30.0,/srv/salami/data/Codaich/jazz/Compilations/Just_Like_A_Bird_Without_A_Feather/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Just_Like_A_Bird_Without_A_Feather/textfile2.txt,jazz,Blues_-_Country_Blues,2010-07-26,2010-07-17,0,False,0,0
48,Codaich,4,6,/srv/salami/data/Codaich/jazz/James_Cotton/Knock_On_Wood,173.0,,Knock_On_Wood,James_Cotton,mp3,20.0,15.0,/srv/salami/data/Codaich/jazz/James_Cotton/Knock_On_Wood/textfile1.txt,/srv/salami/data/Codaich/jazz/James_Cotton/Knock_On_Wood/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-07-13,2010-07-17,0,False,0,0
50,Codaich,2,7,/srv/salami/data/Codaich/jazz/Compilations/After_Hours_Blues,189.0,,After_Hours_Blues,Compilations,mp3,15.0,10.0,/srv/salami/data/Codaich/jazz/Compilations/After_Hours_Blues/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/After_Hours_Blues/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-06-19,2010-06-14,0,False,0,0
54,Codaich,3,6,/srv/salami/data/Codaich/jazz/Compilations/Ain__t_Treating_Me_Right,178.0,,Ain__t_Treating_Me_Right,Compilations,mp3,20.0,25.0,/srv/salami/data/Codaich/jazz/Compilations/Ain__t_Treating_Me_Right/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Ain__t_Treating_Me_Right/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-06-28,2010-07-17,0,False,0,0
56,Codaich,16,14,/srv/salami/data/Codaich/classical/Sarah_Chang/Nocturne_No_3_Op,191.0,,Nocturne_No_3_Op,Sarah_Chang,mp3,15.0,,/srv/salami/data/Codaich/classical/Sarah_Chang/Nocturne_No_3_Op/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-02-25,,0,False,0,0
60,Codaich,3,7,/srv/salami/data/Codaich/classical/Compilations/Firebird___Disappearance_of_the_pala,194.0,,Firebird___Disappearance_of_the_pala,Compilations,mp3,15.0,25.0,/srv/salami/data/Codaich/classical/Compilations/Firebird___Disappearance_of_the_pala/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Firebird___Disappearance_of_the_pala/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-06-20,2010-06-17,0,False,0,0
64,Codaich,16,14,/srv/salami/data/Codaich/classical/Alban_Berg_Quartet/String_Quartet_No,559.0,,String_Quartet_No,Alban_Berg_Quartet,mp3,35.0,,/srv/salami/data/Codaich/classical/Alban_Berg_Quartet/String_Quartet_No/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-03-07,,0,False,0,0
66,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/They_Are_There_____1,40.0,,They_Are_There_____1,Compilations,mp3,4.0,5.0,,,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-08-09,0,True,0,0
82,Codaich,4,6,/srv/salami/data/Codaich/classical/Compilations/Nach_Bach__Fantasy_for_harpsichord_o_2,115.0,,Nach_Bach__Fantasy_for_harpsichord_o_2,Compilations,mp3,15.0,15.0,/srv/salami/data/Codaich/classical/Compilations/Nach_Bach__Fantasy_for_harpsichord_o_2/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Nach_Bach__Fantasy_for_harpsichord_o_2/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-10-16,2010-07-23,0,False,0,0
86,Codaich,7,8,/srv/salami/data/Codaich/classical/Borodin_String_Quartet/String_Quartet_No,630.0,,String_Quartet_No,Borodin_String_Quartet,mp3,35.0,45.0,/srv/salami/data/Codaich/classical/Borodin_String_Quartet/String_Quartet_No/textfile1.txt,/srv/salami/data/Codaich/classical/Borodin_String_Quartet/String_Quartet_No/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-12-29,2010-08-07,0,False,0,0
96,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Lux_Aeterna___1,148.0,,Lux_Aeterna___1,Compilations,mp3,2.0,6.0,,,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-07-23,0,True,0,0
102,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Philomel__Section_I___3,44.0,,Philomel__Section_I___3,Compilations,mp3,2.0,5.0,,,classical,Classical_-_20th_Century_Classical,2010-07-26,2010-07-28,0,True,0,0
108,Codaich,16,14,/srv/salami/data/Codaich/classical/Jordi_Saval/Tombeau_pour_Mr,431.0,,Tombeau_pour_Mr,Jordi_Saval,mp3,40.0,,/srv/salami/data/Codaich/classical/Jordi_Saval/Tombeau_pour_Mr/textfile1.txt,,classical,Classical_-_Baroque,2011-03-14,,0,False,0,0
112,Codaich,16,14,/srv/salami/data/Codaich/classical/Anner_Bylsma/Cello_Suite_No,187.0,,Cello_Suite_No,Anner_Bylsma,mp3,20.0,,/srv/salami/data/Codaich/classical/Anner_Bylsma/Cello_Suite_No/textfile1.txt,,classical,Classical_-_Baroque,2011-03-14,,0,False,0,0
116,Codaich,4,7,/srv/salami/data/Codaich/classical/Compilations/Historia_Di_Jephte__Plorate_Colles_A,273.0,,Historia_Di_Jephte__Plorate_Colles_A,Compilations,mp3,20.0,20.0,/srv/salami/data/Codaich/classical/Compilations/Historia_Di_Jephte__Plorate_Colles_A/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Historia_Di_Jephte__Plorate_Colles_A/textfile2.txt,classical,Classical_-_Baroque,2010-10-16,2010-07-06,0,False,0,0
120,Codaich,3,4,/srv/salami/data/Codaich/classical/Jordi_Saval/Pre_lude_pour_Mr,108.0,,Pre_lude_pour_Mr,Jordi_Saval,mp3,15.0,15.0,/srv/salami/data/Codaich/classical/Jordi_Saval/Pre_lude_pour_Mr/textfile1.txt,/srv/salami/data/Codaich/classical/Jordi_Saval/Pre_lude_pour_Mr/textfile2.txt,classical,Classical_-_Baroque,2010-06-20,2010-09-24,0,False,0,0
122,Codaich,16,14,/srv/salami/data/Codaich/classical/Lars_Ulrik_Mortensen/Praeludium_G_Minor,424.0,,Praeludium_G_Minor,Lars_Ulrik_Mortensen,mp3,25.0,,/srv/salami/data/Codaich/classical/Lars_Ulrik_Mortensen/Praeludium_G_Minor/textfile1.txt,,classical,Classical_-_Baroque,2011-03-21,,0,False,0,0
124,Codaich,16,14,/srv/salami/data/Codaich/classical/Jordi_Saval/Concert_LIV__La_Dubois,1078.0,,Concert_LIV__La_Dubois,Jordi_Saval,mp3,70.0,,/srv/salami/data/Codaich/classical/Jordi_Saval/Concert_LIV__La_Dubois/textfile1.txt,,classical,Classical_-_Baroque,2011-03-21,,0,False,0,0
132,Codaich,4,6,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Bonnocks_of_Beer_Meal,168.0,,Bonnocks_of_Beer_Meal,Puirt_A_Baroque,mp3,15.0,15.0,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Bonnocks_of_Beer_Meal/textfile1.txt,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Bonnocks_of_Beer_Meal/textfile2.txt,classical,Classical_-_Baroque,2010-09-24,2010-07-30,0,False,0,0
140,Codaich,5,9,/srv/salami/data/Codaich/classical/Compilations/Suite_De_Symphonies__1__I_Rondeau,111.0,,Suite_De_Symphonies__1__I_Rondeau,Compilations,mp3,20.0,15.0,/srv/salami/data/Codaich/classical/Compilations/Suite_De_Symphonies__1__I_Rondeau/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Suite_De_Symphonies__1__I_Rondeau/textfile2.txt,classical,Classical_-_Baroque,2010-06-17,2010-07-28,0,False,0,0
146,Codaich,6,7,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Kinloch__s_Fantasy___Kinloche_His_Fan,240.0,,Kinloch__s_Fantasy___Kinloche_His_Fan,Puirt_A_Baroque,mp3,30.0,25.0,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Kinloch__s_Fantasy___Kinloche_His_Fan/textfile1.txt,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Kinloch__s_Fantasy___Kinloche_His_Fan/textfile2.txt,classical,Classical_-_Baroque,2010-10-22,2010-07-12,0,False,0,0
148,Codaich,16,14,/srv/salami/data/Codaich/classical/Compilations/Cleofide___Act_II_Scene_9___Digli_ch,48.0,,Cleofide___Act_II_Scene_9___Digli_ch,Compilations,mp3,5.0,,/srv/salami/data/Codaich/classical/Compilations/Cleofide___Act_II_Scene_9___Digli_ch/textfile1.txt,,classical,Classical_-_Baroque,2011-03-18,,0,False,0,0
154,Codaich,2,8,/srv/salami/data/Codaich/classical/Glenn_Gould/Piano_Sonata_in_C_major___Hob,203.0,,Piano_Sonata_in_C_major___Hob,Glenn_Gould,mp3,35.0,30.0,/srv/salami/data/Codaich/classical/Glenn_Gould/Piano_Sonata_in_C_major___Hob/textfile1.txt,/srv/salami/data/Codaich/classical/Glenn_Gould/Piano_Sonata_in_C_major___Hob/textfile2.txt,classical,Classical_-_Baroque,2010-07-26,2010-08-06,0,False,0,0
156,Codaich,16,14,/srv/salami/data/Codaich/classical/Capella_Istropolitana___Barry_Wordsworth/Symphony_No,393.0,,Symphony_No,Capella_Istropolitana___Barry_Wordsworth,mp3,40.0,,/srv/salami/data/Codaich/classical/Capella_Istropolitana___Barry_Wordsworth/Symphony_No/textfile1.txt,,classical,Classical_-_Classical,2011-03-28,,0,False,0,0
162,Codaich,2,7,/srv/salami/data/Codaich/classical/Compilations/La_ci_darem_la_mano,206.0,,La_ci_darem_la_mano,Compilations,mp3,20.0,20.0,/srv/salami/data/Codaich/classical/Compilations/La_ci_darem_la_mano/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/La_ci_darem_la_mano/textfile2.txt,classical,Classical_-_Classical,2010-07-26,2010-07-06,0,False,0,0
164,Codaich,16,14,/srv/salami/data/Codaich/classical/Nove_Filarmonia_Portuguesa___Alvaro_Cass/Symphony_No,564.0,,Symphony_No,Nove_Filarmonia_Portuguesa___Alvaro_Cass,mp3,40.0,,/srv/salami/data/Codaich/classical/Nove_Filarmonia_Portuguesa___Alvaro_Cass/Symphony_No/textfile1.txt,,classical,Classical_-_Classical,2011-03-28,,0,False,0,0
166,Codaich,4,6,/srv/salami/data/Codaich/classical/Compilations/Symphony_In_F_Major___No,59.0,,Symphony_In_F_Major___No,Compilations,mp3,10.0,5.0,/srv/salami/data/Codaich/classical/Compilations/Symphony_In_F_Major___No/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Symphony_In_F_Major___No/textfile2.txt,classical,Classical_-_Classical,2010-10-13,2010-07-30,0,False,0,0
